Year,Conference,Round,Team with home-court (seed),Team with home-court odds,Team w/o home-court (seed),Team w/o home-court odds,Winning Team,Series Score,team
2008,Western,Conf Semis,Los Angeles Lakers (1),-350.0,Utah Jazz (4),290.0,Los Angeles Lakers,4-2,LAL
2008,Western,Round 1,Los Angeles Lakers (1),-560.0,Denver Nuggets (8),460.0,Los Angeles Lakers,4-0,LAL
2007,Western,Round 1,Phoenix Suns (2),-1600.0,Los Angeles Lakers (7),1000.0,Phoenix Suns,4-1,LAL
2006,Western,Round 1,Phoenix Suns (2),-360.0,Los Angeles Lakers (7),300.0,Phoenix Suns,4-3,LAL
2004,,NBA Finals,Los Angeles Lakers (2),-700.0,Detroit Pistons (3),500.0,Detroit Pistons,4-1,LAL
2004,Western,Conf Finals,Minnesota Timberwolves (1),270.0,Los Angeles Lakers (2),-330.0,Los Angeles Lakers,4-2,LAL
2004,Western,Conf Semis,San Antonio Spurs (3),-140.0,Los Angeles Lakers (2),120.0,Los Angeles Lakers,4-2,LAL
2004,Western,Round 1,Los Angeles Lakers (2),-1080.0,Houston Rockets (7),920.0,Los Angeles Lakers,4-1,LAL
2003,Western,Conf Semis,San Antonio Spurs (1),125.0,Los Angeles Lakers (5),-145.0,San Antonio Spurs,4-2,LAL
2003,Western,Round 1,Minnesota Timberwolves (4),320.0,Los Angeles Lakers (5),-400.0,Los Angeles Lakers,4-2,LAL
2002,,NBA Finals,Los Angeles Lakers (3),-750.0,New Jersey Nets (1),550.0,Los Angeles Lakers,4-0,LAL
2002,Western,Conf Finals,Sacramento Kings (1),190.0,Los Angeles Lakers (3),-230.0,Los Angeles Lakers,4-3,LAL
2002,Western,Conf Semis,Los Angeles Lakers (3),-650.0,San Antonio Spurs (2),450.0,Los Angeles Lakers,4-1,LAL
2002,Western,Round 1,Los Angeles Lakers (3),-600.0,Portland Trail Blazers (6),450.0,Los Angeles Lakers,3-0,LAL
2001,,NBA Finals,Los Angeles Lakers (2),-2000.0,Philadelphia 76ers (1),1600.0,Los Angeles Lakers,4-1,LAL
2001,Western,Conf Finals,San Antonio Spurs (1),125.0,Los Angeles Lakers (2),-145.0,Los Angeles Lakers,4-0,LAL
2001,Western,Conf Semis,Los Angeles Lakers (2),-360.0,Sacramento Kings (3),290.0,Los Angeles Lakers,4-0,LAL
2001,Western,Round 1,Los Angeles Lakers (2),-400.0,Portland Trail Blazers (7),300.0,Los Angeles Lakers,3-0,LAL
2000,,NBA Finals,Los Angeles Lakers (1),-800.0,Indiana Pacers (1),550.0,Los Angeles Lakers,4-2,LAL
2000,Western,Conf Finals,Los Angeles Lakers (1),-340.0,Portland Trail Blazers (3),280.0,Los Angeles Lakers,4-3,LAL
2000,Western,Conf Semis,Los Angeles Lakers (1),-2200.0,Phoenix Suns (5),1500.0,Los Angeles Lakers,4-1,LAL
2000,Western,Round 1,Los Angeles Lakers (1),-2000.0,Sacramento Kings (8),1200.0,Los Angeles Lakers,3-2,LAL
1999,Western,Conf Semis,San Antonio Spurs (1),-220.0,Los Angeles Lakers (4),180.0,San Antonio Spurs,4-0,LAL
1999,Western,Round 1,Los Angeles Lakers (4),-165.0,Houston Rockets (5),145.0,Los Angeles Lakers,3-1,LAL
1998,Western,Conf Finals,Utah Jazz (1),110.0,Los Angeles Lakers (3),-130.0,Utah Jazz,4-0,LAL
1998,Western,Conf Semis,Seattle SuperSonics (2),-105.0,Los Angeles Lakers (3),-115.0,Los Angeles Lakers,4-1,LAL
1998,Western,Round 1,Los Angeles Lakers (3),-550.0,Portland Trail Blazers (6),375.0,Los Angeles Lakers,3-1,LAL
1997,Western,Conf Semis,Utah Jazz (1),-270.0,Los Angeles Lakers (4),210.0,Utah Jazz,4-1,LAL
1997,Western,Round 1,Los Angeles Lakers (4),-330.0,Portland Trail Blazers (5),250.0,Los Angeles Lakers,3-1,LAL
1996,Western,Round 1,Los Angeles Lakers (4),-145.0,Houston Rockets (5),125.0,Houston Rockets,3-1,LAL
1995,Western,Conf Semis,San Antonio Spurs (1),-600.0,Los Angeles Lakers (5),400.0,San Antonio Spurs,4-2,LAL
1995,Western,Round 1,Seattle SuperSonics (4),-400.0,Los Angeles Lakers (5),300.0,Los Angeles Lakers,3-1,LAL
1993,Western,Round 1,Phoenix Suns (1),-3000.0,Los Angeles Lakers (8),2000.0,Phoenix Suns,3-2,LAL
1992,Western,Round 1,Portland Trail Blazers (1),-2000.0,Los Angeles Lakers (8),1500.0,Portland Trail Blazers,3-1,LAL
1991,,NBA Finals,Chicago Bulls (1),-200.0,Los Angeles Lakers (3),170.0,Chicago Bulls,4-1,LAL
1991,Western,Conf Finals,Portland Trail Blazers (1),-190.0,Los Angeles Lakers (3),150.0,Los Angeles Lakers,4-2,LAL
1991,Western,Conf Semis,Los Angeles Lakers (3),-800.0,Golden State Warriors (7),550.0,Los Angeles Lakers,4-1,LAL
1991,Western,Round 1,Los Angeles Lakers (3),-360.0,Houston Rockets (6),280.0,Los Angeles Lakers,3-0,LAL
1990,Western,Conf Semis,Los Angeles Lakers (1),-700.0,Phoenix Suns (5),500.0,Phoenix Suns,4-1,LAL
1990,Western,Round 1,Los Angeles Lakers (1),-1200.0,Houston Rockets (8),800.0,Los Angeles Lakers,3-1,LAL
1989,,NBA Finals,Detroit Pistons (1),100.0,Los Angeles Lakers (1),-120.0,Detroit Pistons,4-0,LAL
1989,Western,Conf Finals,Los Angeles Lakers (1),-300.0,Phoenix Suns (3),240.0,Los Angeles Lakers,4-0,LAL
1989,Western,Conf Semis,Los Angeles Lakers (1),-700.0,Seattle SuperSonics (4),500.0,Los Angeles Lakers,4-0,LAL
1989,Western,Round 1,Los Angeles Lakers (1),-2500.0,Portland Trail Blazers (8),2000.0,Los Angeles Lakers,3-0,LAL
1988,,NBA Finals,Los Angeles Lakers (1),-260.0,Detroit Pistons (2),210.0,Los Angeles Lakers,4-3,LAL
1988,Western,Conf Finals,Los Angeles Lakers (1),-450.0,Dallas Mavericks (3),300.0,Los Angeles Lakers,4-3,LAL
1988,Western,Conf Semis,Los Angeles Lakers (1),,Utah Jazz (5),,Los Angeles Lakers,4-3,LAL
1988,Western,Round 1,Los Angeles Lakers (1),-3000.0,San Antonio Spurs (8),2000.0,Los Angeles Lakers,3-0,LAL
1987,,NBA Finals,Los Angeles Lakers (1),-600.0,Boston Celtics (1),400.0,Los Angeles Lakers,4-2,LAL
1987,Western,Conf Finals,Los Angeles Lakers (1),,Seattle SuperSonics (7),,Los Angeles Lakers,4-0,LAL
1987,Western,Conf Semis,Los Angeles Lakers (1),,Golden State Warriors (5),,Los Angeles Lakers,4-1,LAL
1987,Western,Round 1,Los Angeles Lakers (1),,Denver Nuggets (8),,Los Angeles Lakers,3-0,LAL
1986,Western,Conf Finals,Los Angeles Lakers (1),,Houston Rockets (2),,Houston Rockets,4-1,LAL
1986,Western,Conf Semis,Los Angeles Lakers (1),,Dallas Mavericks (4),,Los Angeles Lakers,4-2,LAL
1986,Western,Round 1,Los Angeles Lakers (1),,San Antonio Spurs (8),,Los Angeles Lakers,3-0,LAL
1985,,NBA Finals,Boston Celtics (1),170.0,Los Angeles Lakers (1),-200.0,Los Angeles Lakers,4-2,LAL
1985,Western,Conf Finals,Los Angeles Lakers (1),,Denver Nuggets (2),,Los Angeles Lakers,4-1,LAL
1985,Western,Conf Semis,Los Angeles Lakers (1),,Portland Trail Blazers (5),,Los Angeles Lakers,4-1,LAL
1985,Western,Round 1,Los Angeles Lakers (1),,Phoenix Suns (8),,Los Angeles Lakers,3-0,LAL
1984,,NBA Finals,Boston Celtics (1),-120.0,Los Angeles Lakers (1),100.0,Boston Celtics,4-3,LAL
1984,Western,Conf Finals,Los Angeles Lakers (1),,Phoenix Suns (6),,Los Angeles Lakers,4-2,LAL
1984,Western,Conf Semis,Los Angeles Lakers (1),,Dallas Mavericks (4),,Los Angeles Lakers,4-1,LAL
1984,Western,Round 1,Los Angeles Lakers (1),,Kansas City Kings (8),,Los Angeles Lakers,3-0,LAL
1983,,NBA Finals,Philadelphia 76ers (1),,Los Angeles Lakers (1),,Philadelphia 76ers,4-0,LAL
1983,Western,Conf Finals,Los Angeles Lakers (1),,San Antonio Spurs (2),,Los Angeles Lakers,4-2,LAL
1983,Western,Conf Semis,Los Angeles Lakers (1),,Portland Trail Blazers (5),,Los Angeles Lakers,4-1,LAL
1982,,NBA Finals,Los Angeles Lakers (1),-160.0,Philadelphia 76ers (3),140.0,Los Angeles Lakers,4-2,LAL
1982,Western,Conf Finals,Los Angeles Lakers (1),,San Antonio Spurs (2),,Los Angeles Lakers,4-0,LAL
1982,Western,Conf Semis,Los Angeles Lakers (1),,Phoenix Suns (5),,Los Angeles Lakers,4-0,LAL
1981,Western,Round 1,Los Angeles Lakers (3),,Houston Rockets (6),,Houston Rockets,2-1,LAL
1980,,NBA Finals,Los Angeles Lakers (1),-190.0,Philadelphia 76ers (3),170.0,Los Angeles Lakers,4-2,LAL
1980,Western,Conf Finals,Los Angeles Lakers (1),-240.0,Seattle SuperSonics (3),200.0,Los Angeles Lakers,4-1,LAL
1980,Western,Conf Semis,Los Angeles Lakers (1),-200.0,Phoenix Suns (4),170.0,Los Angeles Lakers,4-1,LAL
1979,Western,Conf Semis,Seattle SuperSonics (1),,Los Angeles Lakers (5),,Seattle SuperSonics,4-1,LAL
1979,Western,Round 1,Denver Nuggets (4),,Los Angeles Lakers (5),,Los Angeles Lakers,2-1,LAL
1978,Western,Round 1,Seattle SuperSonics (4),,Los Angeles Lakers (5),,Seattle SuperSonics,2-1,LAL
1977,Western,Conf Finals,Los Angeles Lakers (1),,Portland Trail Blazers (3),,Portland Trail Blazers,4-0,LAL
1977,Western,Conf Semis,Los Angeles Lakers (1),,Golden State Warriors (4),,Los Angeles Lakers,4-3,LAL
1974,Western,Conf Semis,Milwaukee Bucks (1),,Los Angeles Lakers (2),,Milwaukee Bucks,4-1,LAL
1973,,NBA Finals,Los Angeles Lakers (2),-160.0,New York Knicks (3),140.0,New York Knicks,4-1,LAL
1973,Western,Conf Finals,Los Angeles Lakers (2),,Golden State Warriors (4),,Los Angeles Lakers,4-1,LAL
1973,Western,Conf Semis,Los Angeles Lakers (2),,Chicago Bulls (3),,Los Angeles Lakers,4-3,LAL
1972,,NBA Finals,Los Angeles Lakers (1),-250.0,New York Knicks (3),200.0,Los Angeles Lakers,4-1,LAL
1972,Western,Conf Finals,Los Angeles Lakers (1),,Milwaukee Bucks (2),,Los Angeles Lakers,4-2,LAL
1972,Western,Conf Semis,Los Angeles Lakers (1),,Chicago Bulls (3),,Los Angeles Lakers,4-0,LAL
1971,Western,Conf Finals,Milwaukee Bucks (1),,Los Angeles Lakers (2),,Milwaukee Bucks,4-1,LAL
1971,Western,Conf Semis,Los Angeles Lakers (2),,Chicago Bulls (3),,Los Angeles Lakers,4-3,LAL
1970,,NBA Finals,New York Knicks (1),-160.0,Los Angeles Lakers (2),140.0,New York Knicks,4-3,LAL
1970,Western,Conf Finals,Atlanta Hawks (1),,Los Angeles Lakers (2),,Los Angeles Lakers,4-0,LAL
1970,Western,Conf Semis,Los Angeles Lakers (2),,Phoenix Suns (4),,Los Angeles Lakers,4-3,LAL
1969,,NBA Finals,Los Angeles Lakers (1),-140.0,Boston Celtics (2),120.0,Boston Celtics,4-3,LAL
1969,Western,Conf Finals,Los Angeles Lakers (1),,Atlanta Hawks (2),,Los Angeles Lakers,4-1,LAL
1969,Western,Conf Semis,Los Angeles Lakers (1),,San Diego Rockets (3),,Los Angeles Lakers,4-1,LAL
1968,,NBA Finals,Boston Celtics (2),,Los Angeles Lakers (2),,Boston Celtics,4-2,LAL
1968,Western,Conf Finals,Los Angeles Lakers (2),,San Francisco Warriors (3),,Los Angeles Lakers,4-0,LAL
1968,Western,Conf Semis,Los Angeles Lakers (2),,Chicago Bulls (4),,Los Angeles Lakers,4-2,LAL
2023,Western,Round 1,Memphis Grizzlies (2),-160.0,Los Angeles Lakers (7),140.0,Los Angeles Lakers,4-2,MEM
2022,Western,Conf Semis,Memphis Grizzlies (2),210.0,Golden State Warriors (3),-255.0,Golden State Warriors,4-2,MEM
2022,Western,Round 1,Memphis Grizzlies (2),-320.0,Minnesota Timberwolves (7),260.0,Memphis Grizzlies,4-2,MEM
2021,Western,Round 1,Utah Jazz (1),-1400.0,Memphis Grizzlies (8),800.0,Utah Jazz,4-1,MEM
2017,Western,Round 1,San Antonio Spurs (2),-1070.0,Memphis Grizzlies (7),685.0,San Antonio Spurs,4-2,MEM
2016,Western,Round 1,San Antonio Spurs (2),-17000.0,Memphis Grizzlies (7),6625.0,San Antonio Spurs,4-0,MEM
2015,Western,Conf Semis,Golden State Warriors (1),-1000.0,Memphis Grizzlies (5),725.0,Golden State Warriors,4-2,MEM
2015,Western,Round 1,Memphis Grizzlies (5),-225.0,Portland Trail Blazers (4),195.0,Memphis Grizzlies,4-1,MEM
2014,Western,Round 1,Oklahoma City Thunder (2),-500.0,Memphis Grizzlies (7),375.0,Oklahoma City Thunder,4-3,MEM
2013,Western,Conf Finals,San Antonio Spurs (2),-145.0,Memphis Grizzlies (5),125.0,San Antonio Spurs,4-0,MEM
2013,Western,Conf Semis,Oklahoma City Thunder (1),107.0,Memphis Grizzlies (5),-127.0,Memphis Grizzlies,4-1,MEM
2013,Western,Round 1,Los Angeles Clippers (4),-180.0,Memphis Grizzlies (5),160.0,Memphis Grizzlies,4-2,MEM
2012,Western,Round 1,Memphis Grizzlies (4),-200.0,Los Angeles Clippers (5),170.0,Los Angeles Clippers,4-3,MEM
2011,Western,Conf Semis,Oklahoma City Thunder (4),-350.0,Memphis Grizzlies (8),275.0,Oklahoma City Thunder,4-3,MEM
2011,Western,Round 1,San Antonio Spurs (1),-390.0,Memphis Grizzlies (8),280.0,Memphis Grizzlies,4-2,MEM
2006,Western,Round 1,Dallas Mavericks (4),-725.0,Memphis Grizzlies (5),525.0,Dallas Mavericks,4-0,MEM
2005,Western,Round 1,Phoenix Suns (1),-1200.0,Memphis Grizzlies (8),800.0,Phoenix Suns,4-0,MEM
2004,Western,Round 1,San Antonio Spurs (3),-1080.0,Memphis Grizzlies (6),920.0,San Antonio Spurs,4-0,MEM
2024,Eastern,Round 1,Boston Celtics (1),-10000.0,Miami Heat (8),2000.0,Boston Celtics,4-1,MIA
2023,,NBA Finals,Denver Nuggets (1),-430.0,Miami Heat (8),330.0,Denver Nuggets,4-1,MIA
2023,Eastern,Conf Finals,Boston Celtics (2),-550.0,Miami Heat (8),400.0,Miami Heat,4-3,MIA
2023,Eastern,Conf Semis,New York Knicks (5),-160.0,Miami Heat (8),140.0,Miami Heat,4-2,MIA
2023,Eastern,Round 1,Milwaukee Bucks (1),-1200.0,Miami Heat (8),750.0,Miami Heat,4-1,MIA
2022,Eastern,Conf Finals,Miami Heat (1),140.0,Boston Celtics (2),-160.0,Boston Celtics,4-3,MIA
2022,Eastern,Conf Semis,Miami Heat (1),-310.0,Philadelphia 76ers (4),250.0,Miami Heat,4-2,MIA
2022,Eastern,Round 1,Miami Heat (1),-420.0,Atlanta Hawks (8),330.0,Miami Heat,4-1,MIA
2021,Eastern,Round 1,Milwaukee Bucks (3),-320.0,Miami Heat (6),250.0,Milwaukee Bucks,4-0,MIA
2020,,NBA Finals,Los Angeles Lakers (1),-350.0,Miami Heat (5),290.0,Los Angeles Lakers,4-2,MIA
2020,Eastern,Conf Finals,Boston Celtics (2),-130.0,Miami Heat (5),110.0,Miami Heat,4-2,MIA
2020,Eastern,Conf Semis,Milwaukee Bucks (1),-440.0,Miami Heat (5),350.0,Miami Heat,4-1,MIA
2020,Eastern,Round 1,Indiana Pacers (4),260.0,Miami Heat (5),-320.0,Miami Heat,4-0,MIA
2018,Eastern,Round 1,Philadelphia 76ers (3),-500.0,Miami Heat (6),400.0,Philadelphia 76ers,4-1,MIA
2016,Eastern,Conf Semis,Toronto Raptors (2),-145.0,Miami Heat (3),125.0,Toronto Raptors,4-3,MIA
2016,Eastern,Round 1,Miami Heat (3),-170.0,Charlotte Hornets (6),150.0,Miami Heat,4-3,MIA
2014,,NBA Finals,San Antonio Spurs (1),-155.0,Miami Heat (2),135.0,San Antonio Spurs,4-1,MIA
2014,Eastern,Conf Finals,Indiana Pacers (1),300.0,Miami Heat (2),-380.0,Miami Heat,4-2,MIA
2014,Eastern,Conf Semis,Miami Heat (2),-620.0,Brooklyn Nets (6),450.0,Miami Heat,4-1,MIA
2014,Eastern,Round 1,Miami Heat (2),-2500.0,Charlotte Bobcats (7),1000.0,Miami Heat,4-0,MIA
2013,,NBA Finals,Miami Heat (1),-220.0,San Antonio Spurs (2),180.0,Miami Heat,4-3,MIA
2013,Eastern,Conf Finals,Miami Heat (1),-850.0,Indiana Pacers (3),575.0,Miami Heat,4-3,MIA
2013,Eastern,Conf Semis,Miami Heat (1),-3000.0,Chicago Bulls (5),1100.0,Miami Heat,4-1,MIA
2013,Eastern,Round 1,Miami Heat (1),-20000.0,Milwaukee Bucks (8),7500.0,Miami Heat,4-0,MIA
2012,,NBA Finals,Oklahoma City Thunder (2),-175.0,Miami Heat (2),155.0,Miami Heat,4-1,MIA
2012,Eastern,Conf Finals,Miami Heat (2),-530.0,Boston Celtics (4),400.0,Miami Heat,4-3,MIA
2012,Eastern,Conf Semis,Miami Heat (2),-950.0,Indiana Pacers (3),625.0,Miami Heat,4-2,MIA
2012,Eastern,Round 1,Miami Heat (2),-900.0,New York Knicks (7),650.0,Miami Heat,4-1,MIA
2011,,NBA Finals,Miami Heat (2),-175.0,Dallas Mavericks (3),155.0,Dallas Mavericks,4-2,MIA
2011,Eastern,Conf Finals,Chicago Bulls (1),160.0,Miami Heat (2),-190.0,Miami Heat,4-1,MIA
2011,Eastern,Conf Semis,Miami Heat (2),-190.0,Boston Celtics (3),165.0,Miami Heat,4-1,MIA
2011,Eastern,Round 1,Miami Heat (2),-2500.0,Philadelphia 76ers (7),1000.0,Miami Heat,4-1,MIA
2010,Eastern,Round 1,Boston Celtics (4),-175.0,Miami Heat (5),155.0,Boston Celtics,4-1,MIA
2009,Eastern,Round 1,Atlanta Hawks (4),-145.0,Miami Heat (5),125.0,Atlanta Hawks,4-3,MIA
2007,Eastern,Round 1,Chicago Bulls (5),-140.0,Miami Heat (4),120.0,Chicago Bulls,4-0,MIA
2006,,NBA Finals,Dallas Mavericks (4),-150.0,Miami Heat (2),130.0,Miami Heat,4-2,MIA
2006,Eastern,Conf Finals,Detroit Pistons (1),-245.0,Miami Heat (2),205.0,Miami Heat,4-2,MIA
2006,Eastern,Conf Semis,Miami Heat (2),-190.0,New Jersey Nets (3),160.0,Miami Heat,4-1,MIA
2006,Eastern,Round 1,Miami Heat (2),-850.0,Chicago Bulls (7),625.0,Miami Heat,4-2,MIA
2005,Eastern,Conf Finals,Miami Heat (1),-130.0,Detroit Pistons (2),110.0,Detroit Pistons,4-3,MIA
2005,Eastern,Conf Semis,Miami Heat (1),-1800.0,Washington Wizards (5),1200.0,Miami Heat,4-0,MIA
2005,Eastern,Round 1,Miami Heat (1),-1200.0,New Jersey Nets (8),800.0,Miami Heat,4-0,MIA
2004,Eastern,Conf Semis,Indiana Pacers (1),-2200.0,Miami Heat (4),1500.0,Indiana Pacers,4-2,MIA
2004,Eastern,Round 1,Miami Heat (4),-277.0,New Orleans Hornets (5),243.0,Miami Heat,4-3,MIA
2001,Eastern,Round 1,Miami Heat (3),-180.0,Charlotte Hornets (6),160.0,Charlotte Hornets,3-0,MIA
2000,Eastern,Conf Semis,Miami Heat (2),-155.0,New York Knicks (3),135.0,New York Knicks,4-3,MIA
2000,Eastern,Round 1,Miami Heat (2),,Detroit Pistons (7),,Miami Heat,3-0,MIA
1999,Eastern,Round 1,Miami Heat (1),-280.0,New York Knicks (8),230.0,New York Knicks,3-2,MIA
1998,Eastern,Round 1,Miami Heat (2),-500.0,New York Knicks (7),350.0,New York Knicks,3-2,MIA
1997,Eastern,Conf Finals,Chicago Bulls (1),-1700.0,Miami Heat (2),1100.0,Chicago Bulls,4-1,MIA
1997,Eastern,Conf Semis,Miami Heat (2),-145.0,New York Knicks (3),125.0,Miami Heat,4-3,MIA
1997,Eastern,Round 1,Miami Heat (2),-400.0,Orlando Magic (7),300.0,Miami Heat,3-2,MIA
1996,Eastern,Round 1,Chicago Bulls (1),-2500.0,Miami Heat (8),1800.0,Chicago Bulls,3-0,MIA
1994,Eastern,Round 1,Atlanta Hawks (1),-360.0,Miami Heat (8),280.0,Atlanta Hawks,3-2,MIA
1992,Eastern,Round 1,Chicago Bulls (1),-10000.0,Miami Heat (8),7500.0,Chicago Bulls,3-0,MIA
2024,Eastern,Round 1,Milwaukee Bucks (3),105.0,Indiana Pacers (6),-125.0,Indiana Pacers,4-2,MIL
2023,Eastern,Round 1,Milwaukee Bucks (1),-1200.0,Miami Heat (8),750.0,Miami Heat,4-1,MIL
2022,Eastern,Conf Semis,Boston Celtics (2),-200.0,Milwaukee Bucks (3),170.0,Boston Celtics,4-3,MIL
2022,Eastern,Round 1,Milwaukee Bucks (3),-1100.0,Chicago Bulls (6),700.0,Milwaukee Bucks,4-1,MIL
2021,,NBA Finals,Phoenix Suns (2),-180.0,Milwaukee Bucks (3),160.0,Milwaukee Bucks,4-2,MIL
2021,Eastern,Conf Finals,Milwaukee Bucks (3),-500.0,Atlanta Hawks (5),400.0,Milwaukee Bucks,4-2,MIL
2021,Eastern,Conf Semis,Brooklyn Nets (2),-180.0,Milwaukee Bucks (3),160.0,Milwaukee Bucks,4-3,MIL
2021,Eastern,Round 1,Milwaukee Bucks (3),-320.0,Miami Heat (6),250.0,Milwaukee Bucks,4-0,MIL
2020,Eastern,Conf Semis,Milwaukee Bucks (1),-440.0,Miami Heat (5),350.0,Miami Heat,4-1,MIL
2020,Eastern,Round 1,Milwaukee Bucks (1),-7500.0,Orlando Magic (8),3250.0,Milwaukee Bucks,4-1,MIL
2019,Eastern,Conf Finals,Milwaukee Bucks (1),-270.0,Toronto Raptors (2),230.0,Toronto Raptors,4-2,MIL
2019,Eastern,Conf Semis,Milwaukee Bucks (1),-360.0,Boston Celtics (4),300.0,Milwaukee Bucks,4-1,MIL
2019,Eastern,Round 1,Milwaukee Bucks (1),-3500.0,Detroit Pistons (8),1750.0,Milwaukee Bucks,4-0,MIL
2018,Eastern,Round 1,Boston Celtics (2),-150.0,Milwaukee Bucks (7),130.0,Boston Celtics,4-3,MIL
2017,Eastern,Round 1,Toronto Raptors (3),-440.0,Milwaukee Bucks (6),350.0,Toronto Raptors,4-2,MIL
2015,Eastern,Round 1,Chicago Bulls (3),-950.0,Milwaukee Bucks (6),700.0,Chicago Bulls,4-2,MIL
2013,Eastern,Round 1,Miami Heat (1),-20000.0,Milwaukee Bucks (8),7500.0,Miami Heat,4-0,MIL
2010,Eastern,Round 1,Atlanta Hawks (3),-750.0,Milwaukee Bucks (6),550.0,Atlanta Hawks,4-3,MIL
2006,Eastern,Round 1,Detroit Pistons (1),-5500.0,Milwaukee Bucks (8),3250.0,Detroit Pistons,4-1,MIL
2004,Eastern,Round 1,Detroit Pistons (3),-1780.0,Milwaukee Bucks (6),1430.0,Detroit Pistons,4-1,MIL
2003,Eastern,Round 1,New Jersey Nets (2),-280.0,Milwaukee Bucks (7),230.0,New Jersey Nets,4-2,MIL
2001,Eastern,Conf Finals,Philadelphia 76ers (1),-180.0,Milwaukee Bucks (2),160.0,Philadelphia 76ers,4-3,MIL
2001,Eastern,Conf Semis,Milwaukee Bucks (2),-230.0,Charlotte Hornets (6),190.0,Milwaukee Bucks,4-3,MIL
2001,Eastern,Round 1,Milwaukee Bucks (2),-500.0,Orlando Magic (7),350.0,Milwaukee Bucks,3-1,MIL
2000,Eastern,Round 1,Indiana Pacers (1),-800.0,Milwaukee Bucks (8),550.0,Indiana Pacers,3-2,MIL
1999,Eastern,Round 1,Indiana Pacers (2),-400.0,Milwaukee Bucks (7),300.0,Indiana Pacers,3-0,MIL
1991,Eastern,Round 1,Milwaukee Bucks (4),-180.0,Philadelphia 76ers (5),140.0,Philadelphia 76ers,3-0,MIL
1990,Eastern,Round 1,Chicago Bulls (3),-650.0,Milwaukee Bucks (6),450.0,Chicago Bulls,3-1,MIL
1989,Eastern,Conf Semis,Detroit Pistons (1),-700.0,Milwaukee Bucks (5),500.0,Detroit Pistons,4-0,MIL
1989,Eastern,Round 1,Atlanta Hawks (4),-250.0,Milwaukee Bucks (5),200.0,Milwaukee Bucks,3-2,MIL
1988,Eastern,Round 1,Atlanta Hawks (4),-450.0,Milwaukee Bucks (5),300.0,Atlanta Hawks,3-2,MIL
1987,Eastern,Conf Semis,Boston Celtics (1),,Milwaukee Bucks (4),,Boston Celtics,4-3,MIL
1987,Eastern,Round 1,Milwaukee Bucks (4),,Philadelphia 76ers (5),,Milwaukee Bucks,3-2,MIL
1986,Eastern,Conf Finals,Boston Celtics (1),,Milwaukee Bucks (2),,Boston Celtics,4-0,MIL
1986,Eastern,Conf Semis,Milwaukee Bucks (2),,Philadelphia 76ers (3),,Milwaukee Bucks,4-3,MIL
1986,Eastern,Round 1,Milwaukee Bucks (2),,New Jersey Nets (7),,Milwaukee Bucks,3-0,MIL
1985,Eastern,Conf Semis,Milwaukee Bucks (2),,Philadelphia 76ers (3),,Philadelphia 76ers,4-0,MIL
1985,Eastern,Round 1,Milwaukee Bucks (2),,Chicago Bulls (7),,Milwaukee Bucks,3-1,MIL
1984,Eastern,Conf Finals,Boston Celtics (1),,Milwaukee Bucks (2),,Boston Celtics,4-1,MIL
1984,Eastern,Conf Semis,Milwaukee Bucks (2),,New Jersey Nets (6),,Milwaukee Bucks,4-2,MIL
1984,Eastern,Round 1,Milwaukee Bucks (2),,Atlanta Hawks (7),,Milwaukee Bucks,3-2,MIL
1983,Eastern,Conf Finals,Philadelphia 76ers (1),,Milwaukee Bucks (2),,Philadelphia 76ers,4-1,MIL
1983,Eastern,Conf Semis,Boston Celtics (3),,Milwaukee Bucks (2),,Milwaukee Bucks,4-0,MIL
1982,Eastern,Conf Semis,Philadelphia 76ers (3),,Milwaukee Bucks (2),,Philadelphia 76ers,4-2,MIL
1981,Eastern,Conf Semis,Philadelphia 76ers (3),-150.0,Milwaukee Bucks (2),130.0,Philadelphia 76ers,4-3,MIL
1980,Western,Conf Semis,Seattle SuperSonics (3),-150.0,Milwaukee Bucks (2),130.0,Seattle SuperSonics,4-3,MIL
1978,Western,Conf Semis,Denver Nuggets (2),,Milwaukee Bucks (6),,Denver Nuggets,4-3,MIL
1978,Western,Round 1,Phoenix Suns (3),,Milwaukee Bucks (6),,Milwaukee Bucks,2-0,MIL
1976,Western,Round 1,Milwaukee Bucks (4),,Detroit Pistons (5),,Detroit Pistons,2-1,MIL
1974,,NBA Finals,Milwaukee Bucks (1),,Boston Celtics (1),,Boston Celtics,4-3,MIL
1974,Western,Conf Finals,Milwaukee Bucks (1),,Chicago Bulls (3),,Milwaukee Bucks,4-0,MIL
1974,Western,Conf Semis,Milwaukee Bucks (1),,Los Angeles Lakers (2),,Milwaukee Bucks,4-1,MIL
1973,Western,Conf Semis,Milwaukee Bucks (1),,Golden State Warriors (4),,Golden State Warriors,4-2,MIL
1972,Western,Conf Finals,Los Angeles Lakers (1),,Milwaukee Bucks (2),,Los Angeles Lakers,4-2,MIL
1972,Western,Conf Semis,Milwaukee Bucks (2),,Golden State Warriors (4),,Milwaukee Bucks,4-1,MIL
1971,,NBA Finals,Milwaukee Bucks (1),,Baltimore Bullets (2),,Milwaukee Bucks,4-0,MIL
1971,Western,Conf Finals,Milwaukee Bucks (1),,Los Angeles Lakers (2),,Milwaukee Bucks,4-1,MIL
1971,Western,Conf Semis,Milwaukee Bucks (1),,San Francisco Warriors (4),,Milwaukee Bucks,4-1,MIL
