bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
zubaciv01,ivica zubac,2022-23,LAC,Post Scorer,1224,42,C,25,-0.8,-2.08,1.29,1.30,1627826.0,-0.15,-1.82,1.67,2023
kaminfr01,frank kaminsky,2022-23,ATL,Stretch Big,162,22,C,29,-0.81,-0.45,-0.37,0.20,1626163.0,-0.79,-0.72,-0.07,2023
mcgruro01,rodney mcgruder,2022-23,DET,Movement Shooter,190,18,SG,31,-0.83,-0.78,-0.05,0.20,203585.0,-1.17,-0.89,-0.28,2023
hayesja02,jaxson hayes,2022-23,NOP,Roll + Cut Big,315,23,C,22,-0.84,-1.25,0.42,0.30,1629637.0,-0.81,-1.24,0.43,2023
bantoda01,dalano banton,2022-23,TOR,Athletic Finisher,222,22,PG,23,-0.84,-0.64,-0.2,0.20,1630625.0,-0.47,-0.46,-0.02,2023
johnsja01,james johnson,2022-23,IND,Low Minute,92,11,PF,35,-0.84,-0.82,-0.01,0.10,201949.0,-1.24,-1.13,-0.11,2023
mccontj01,t.j. mcconnell,2022-23,IND,Primary Ball Handler,720,41,PG,30,-0.84,-1.01,0.17,0.70,204456.0,-1.02,-0.85,-0.17,2023
bogdabo02,bojan bogdanovic,2022-23,DET,Off Screen Shooter,1381,44,PF,33,-0.84,1.27,-2.11,1.40,202711.0,-1.09,1.05,-2.14,2023
willima07,mark williams,2022-23,CHO,Roll + Cut Big,165,13,C,21,-0.84,-1.35,0.51,0.20,1631109.0,-0.25,-1.11,0.86,2023
hylanbo01,bones hyland,2022-23,DEN,Primary Ball Handler,707,34,PG,22,-0.85,1.46,-2.31,0.70,1630538.0,0.37,1.85,-1.48,2023
alexani01,nickeil alexander-walker,2022-23,UTA,Secondary Ball Handler,500,31,SG,24,-0.85,-0.81,-0.04,0.50,1629638.0,-0.92,-0.93,0.01,2023
knighna01,nathan knight,2022-23,MIN,Athletic Finisher,116,20,PF,25,-0.86,-0.21,-0.65,0.10,1630233.0,-0.98,-0.53,-0.45,2023
kornelu01,luke kornet,2022-23,BOS,Roll + Cut Big,437,37,C,27,-0.86,-1.52,0.66,0.40,1628436.0,-0.35,-1.33,0.99,2023
vandeja01,jarred vanderbilt,2022-23,UTA,Roll + Cut Big,1087,44,PF,23,-0.86,-0.51,-0.35,1.10,1629020.0,0.75,-0.08,0.83,2023
edwarke02,kessler edwards,2022-23,BRK,Low Minute,74,13,SF,22,-0.87,-0.08,-0.79,0.10,1630556.0,-1.51,-0.5,-1.01,2023
aytonde01,deandre ayton,2022-23,PHO,Post Scorer,1124,38,C,24,-0.87,-1.05,0.18,1.10,1629028.0,0.45,0.03,0.42,2023
lewiski01,kira lewis jr.,2022-23,NOP,Low Minute,41,5,PG,21,-0.88,-0.33,-0.55,0.00,1630184.0,-0.92,-0.52,-0.4,2023
dellama01,matthew dellavedova,2022-23,SAC,Secondary Ball Handler,112,19,PG,32,-0.88,-0.82,-0.06,0.10,203521.0,-0.68,-0.55,-0.13,2023
harpero02,ron harper jr.,2022-23,TOR,Low Minute,8,2,SF,22,-0.88,-0.49,-0.39,0.00,1631199.0,-0.94,-0.53,-0.41,2023
joneska01,kai jones,2022-23,CHO,Athletic Finisher,227,25,C,21,-0.89,-1.7,0.81,0.20,1630539.0,-1.68,-2.15,0.46,2023
mannte01,terance mann,2022-23,LAC,Athletic Finisher,945,43,SG,26,-0.89,-0.75,-0.14,0.90,1629611.0,-1.21,-1.22,0.01,2023
martity01,tyrese martin,2022-23,ATL,Low Minute,42,11,SG,23,-0.89,-0.35,-0.54,0.00,1631213.0,-0.72,-0.37,-0.35,2023
shamela01,landry shamet,2022-23,PHO,Movement Shooter,617,29,SG,25,-0.89,-0.46,-0.44,0.60,1629013.0,-0.93,0.07,-1.01,2023
champju02,julian champagnie,2022-23,PHI,Low Minute,7,2,SF,21,-0.9,-0.2,-0.7,0.00,1630577.0,-0.94,-0.26,-0.68,2023
netora01,raul neto,2022-23,CLE,Stationary Shooter,294,28,PG,30,-0.9,-0.87,-0.03,0.30,203526.0,-1.1,-0.97,-0.13,2023
davisjo06,johnny davis,2022-23,WAS,Low Minute,50,10,SG,20,-0.91,-0.77,-0.14,0.00,1631098.0,-0.59,-0.51,-0.08,2023
brownke03,kendall brown,2022-23,IND,Low Minute,40,6,SG,19,-0.93,-0.6,-0.33,0.00,1631112.0,-1.04,-0.67,-0.37,2023
hausesa01,sam hauser,2022-23,BOS,Off Screen Shooter,648,44,PF,25,-0.93,-0.17,-0.76,0.60,1630573.0,-0.78,-0.16,-0.62,2023
champju01,justin champagnie,2022-23,TOR,Low Minute,11,3,SF,21,-0.95,-0.51,-0.44,0.00,1630551.0,-0.95,-0.56,-0.39,2023
