PLAYER_ID,PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
1630578,Alperen Sengun,HOU,22.0,52,49,15.299999999999999,63,120,52.5,52.5,15.299999999999999,63,120,52.5,0.0,0,0,
1627734,Domantas Sabonis,SAC,28.0,51,45,17.0,62,116,53.400000000000006,53.400000000000006,17.0,62,116,53.400000000000006,0.0,0,0,
203507,Giannis Antetokounmpo,MIL,30.0,41,37,11.4,61,98,62.2,62.2,11.4,61,98,62.2,0.0,0,0,
1627826,Ivica Zubac,LAC,27.0,52,44,16.6,47,95,49.5,49.5,16.6,47,95,49.5,0.0,0,0,
1630595,Cade Cunningham,DET,23.0,50,41,8.799999999999999,36,92,39.1,39.1,8.3,36,87,41.4,0.5,0,5,0.0
203999,Nikola Jokić,DEN,29.0,49,41,9.3,53,89,59.599999999999994,59.599999999999994,9.0,53,87,60.9,0.2,0,2,0.0
1627759,Jaylen Brown,BOS,28.0,45,35,9.4,31,77,40.300000000000004,40.300000000000004,9.1,31,75,41.3,0.2,0,2,0.0
1628368,De'Aaron Fox,SAS,27.0,49,35,7.6,29,72,40.300000000000004,40.300000000000004,7.3999999999999995,29,70,41.4,0.2,0,2,0.0
1630532,Franz Wagner,ORL,23.0,36,30,10.0,37,70,52.900000000000006,52.900000000000006,10.0,37,70,52.900000000000006,0.0,0,0,
1629628,RJ Barrett,TOR,24.0,42,32,9.700000000000001,28,70,40.0,40.0,9.700000000000001,28,70,40.0,0.0,0,0,
1627751,Jakob Poeltl,TOR,29.0,45,35,15.0,44,69,63.800000000000004,63.800000000000004,15.0,44,69,63.800000000000004,0.0,0,0,
1626157,Karl-Anthony Towns,NYK,29.0,49,38,8.5,29,69,42.0,42.0,8.5,29,69,42.0,0.0,0,0,
1628983,Shai Gilgeous-Alexander,OKC,26.0,52,37,6.2,31,68,45.6,45.6,6.2,31,68,45.6,0.0,0,0,
1630224,Jalen Green,HOU,23.0,55,40,6.9,24,67,35.8,36.6,6.6000000000000005,23,64,35.9,0.3,1,3,33.300000000000004
1630596,Evan Mobley,CLE,23.0,48,33,10.9,41,66,62.1,62.1,10.9,41,66,62.1,0.0,0,0,
2544,LeBron James,LAL,40.0,48,32,7.6,40,66,60.6,60.6,7.5,40,65,61.5,0.1,0,1,0.0
1641705,Victor Wembanyama,SAS,21.0,46,37,7.5,37,64,57.8,57.8,7.5,37,64,57.8,0.0,0,0,
1629651,Nic Claxton,BKN,25.0,47,35,16.3,35,62,56.49999999999999,56.49999999999999,16.3,35,62,56.49999999999999,0.0,0,0,
1628991,Jaren Jackson Jr.,MEM,25.0,52,39,7.1,27,62,43.5,43.5,7.1,27,62,43.5,0.0,0,0,
203076,Anthony Davis,DAL,31.0,43,34,7.9,33,61,54.1,54.1,7.9,33,61,54.1,0.0,0,0,
1642274,Yves Missi,NOP,20.0,52,36,18.3,27,60,45.0,45.0,18.3,27,60,45.0,0.0,0,0,
1629655,Daniel Gafford,DAL,26.0,51,38,16.3,38,59,64.4,64.4,16.3,38,59,64.4,0.0,0,0,
1626162,Kelly Oubre Jr.,PHI,29.0,51,33,9.6,28,59,47.5,47.5,9.6,28,59,47.5,0.0,0,0,
1631105,Jalen Duren,DET,21.0,52,33,17.2,32,58,55.2,55.2,17.2,32,58,55.2,0.0,0,0,
